surveywave,id_state,id_school,id_pupil,treatment,strata,weight_pupil,fpc_school,fpc_pupil,pt001,pt002,pt003,pt004,pt005,pt005_oth,pt006,pt007,pt233_a,pt233_b,pt233_c,pt233_d,pt233_e,pt233_f,pt233_g,pt233_h,pt233_i,pt233_j,pt233_k,pt233_l,pt233_m,pt233_n,pt233_o,pt233_p,pt233_q,n_rawscore_lit,n_rawscore_num,n_rawscore_sci,n_rasche500_lit,n_rasche500_num,n_rasche500_sci,n_statewise_pupil_ai,n_statewise_pupil_aiq
Round 1 Baseline,Jigawa,1,1,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,3,7,15.60000038146973,547.6602703570518,575.2179866857797,525.5864700495409,2.104795694351196,5
Round 1 Baseline,Jigawa,1,2,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,.25,3,2.600000143051148,281.8272837418975,450.5708633173208,358.1584431726051,-.5109798908233643,3
Round 1 Baseline,Jigawa,1,3,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,1.75,4,2.599999904632568,471.3273486189669,475.4435604597432,358.1584431726051,-.5939081311225891,3
Round 1 Baseline,Jigawa,1,4,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Boy,10,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.5,6.25,25.39999961853027,563.3470263026694,561.4872511842842,587.8570525548253,3.389558792114258,5
Round 1 Baseline,Jigawa,1,5,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,.5,4.5,4.400000095367432,411.4392691960705,514.2951669664906,403.10521446101,4.707863330841065,5
Round 1 Baseline,Jigawa,1,6,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Girl,9,Hausa,,Can see book,Draws or writes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,3.75,7.25,4.400000095367432,563.3470263026694,587.976861388318,403.10521446101,1.550766706466675,4
Round 1 Baseline,Jigawa,1,7,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,1.75,2.5,2.400000095367432,493.5573197431712,450.5708633173208,325.1535148727826,-.5359674692153931,3
Round 1 Baseline,Jigawa,1,8,Treatment,111,51,.3333333333333333,.0588235294117647,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3.75,6.75,4.599999904632568,563.3470263026694,575.2179866857797,417.3211346044038,2.701508760452271,5
Round 1 Baseline,Jigawa,4,1,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Girl,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,.25,1,1.600000023841858,364.1387867795772,324.6987508847998,288.1088511523211,.4266136586666107,4
Round 1 Baseline,Jigawa,4,2,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Girl,9,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,0,2,2,281.8272837418975,418.89374428102,243.8553907885548,-1.866461157798767,1
Round 1 Baseline,Jigawa,4,3,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,.25,2.5,3.400000095367432,364.1387867795772,418.89374428102,342.0714935094791,-1.866461157798767,1
Round 1 Baseline,Jigawa,4,5,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,.5,2.5,2.800000190734863,364.1387867795772,418.89374428102,373.5930763676761,-1.866461157798767,1
Round 1 Baseline,Jigawa,4,6,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,0,2.5,3,281.8272837418975,418.89374428102,325.1535148727826,-1.866461157798767,1
Round 1 Baseline,Jigawa,4,7,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,0,2.5,5.800000190734863,281.8272837418975,418.89374428102,388.5393149746298,-1.866461157798767,1
Round 1 Baseline,Jigawa,4,8,Treatment,111,11.57142857142857,.3333333333333333,.2592592592592592,Able to understand you,Responds verbally,Boy,6,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,0,0,4.800000190734863,281.8272837418975,237.3657540479509,325.1535148727826,-1.338296890258789,2
Round 1 Baseline,Jigawa,8,1,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,0,2,13.19999980926514,281.8272837418975,418.89374428102,480.8425613487283,-.7040212154388428,3
Round 1 Baseline,Jigawa,8,2,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,1,4,10.80000019073486,411.4392691960705,496.0930309466859,444.5428493166294,-1.270472288131714,2
Round 1 Baseline,Jigawa,8,3,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,4.25,4.25,25.60000038146973,578.4254796978597,514.2951669664906,600.3390620277853,-1.338296890258789,2
Round 1 Baseline,Jigawa,8,4,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,1.5,5,10,471.3273486189669,546.7480227384791,444.5428493166294,-1.866461157798767,1
Round 1 Baseline,Jigawa,8,5,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,.5,4.25,25.60000038146973,411.4392691960705,514.2951669664906,600.3390620277853,-.7040212154388428,3
Round 1 Baseline,Jigawa,8,6,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,11,Hausa,,Can see book,Draws or writes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,1.5,5.25,12.60000038146973,471.3273486189669,546.7480227384791,500.7653645289295,-.7040212154388428,3
Round 1 Baseline,Jigawa,8,7,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,3.5,5,22.39999961853027,547.6602703570518,531.0398348037567,557.4158244388025,1.547690749168396,4
Round 1 Baseline,Jigawa,8,8,Treatment,111,12.375,.3333333333333333,.2424242424242424,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,.5,4,4.400000095367432,411.4392691960705,496.0930309466859,403.10521446101,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,1,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Girl,8,Fulfulde,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,2.25,3,16.60000038146973,471.3273486189669,475.4435604597432,533.2603275206114,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,2,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Girl,7,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,0,2,10.80000019073486,281.8272837418975,377.8811106666627,444.5428493166294,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,3,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Boy,8,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,0,2.5,3,281.8272837418975,418.89374428102,373.5930763676761,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,4,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,0,2,5.599999904632568,281.8272837418975,377.8811106666627,431.1580088048896,-1.106968641281128,2
Round 1 Baseline,Jigawa,11,5,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Girl,Missing,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,0,0,3.200000047683716,281.8272837418975,237.3657540479509,388.5393149746298,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,6,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Girl,10,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,.5,2,15.60000038146973,364.1387867795772,418.89374428102,525.5864700495409,-1.866461157798767,1
Round 1 Baseline,Jigawa,11,7,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,1.75,2,16.60000038146973,445.0797933095923,418.89374428102,525.5864700495409,-1.270472288131714,2
Round 1 Baseline,Jigawa,11,8,Treatment,111,3,.3333333333333333,1,Able to understand you,Responds verbally,Boy,7,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,1.25,3.5,14.60000038146973,364.1387867795772,496.0930309466859,517.7353689654997,-1.338296890258789,2
Round 1 Baseline,Jigawa,20,1,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,0,1.75,1.600000023841858,281.8272837418975,377.8811106666627,267.3248759012962,-1.866461157798767,1
Round 1 Baseline,Jigawa,20,2,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,0,.5,3.200000047683716,281.8272837418975,324.6987508847998,388.5393149746298,-1.866461157798767,1
Round 1 Baseline,Jigawa,20,3,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,0,1,2,281.8272837418975,324.6987508847998,307.2342681158791,-1.866461157798767,1
Round 1 Baseline,Jigawa,20,4,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,.25,1.5,2.600000143051148,411.4392691960705,377.8811106666627,342.0714935094791,-2.502430200576782,1
Round 1 Baseline,Jigawa,20,5,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,0,1,2.600000143051148,281.8272837418975,324.6987508847998,358.1584431726051,-1.866461157798767,1
Round 1 Baseline,Jigawa,20,6,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,0,2,3.200000047683716,281.8272837418975,418.89374428102,388.5393149746298,-2.502430200576782,1
Round 1 Baseline,Jigawa,20,7,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,6,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0,1,.800000011920929,281.8272837418975,324.6987508847998,215.4119702526165,-1.338296890258789,2
Round 1 Baseline,Jigawa,20,8,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,6,Hausa,,Can see book,Draws or writes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,2,3.400000095367432,281.8272837418975,418.89374428102,342.0714935094791,-2.31737756729126,1
Round 1 Baseline,Jigawa,21,1,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,.5,2.75,11,364.1387867795772,418.89374428102,457.3770753468402,-.6070438623428345,3
Round 1 Baseline,Jigawa,21,2,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,.25,2,3.799999952316284,281.8272837418975,418.89374428102,358.1584431726051,-1.338296890258789,2
Round 1 Baseline,Jigawa,21,3,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,.25,2,7.600000381469727,281.8272837418975,418.89374428102,403.10521446101,-1.338296890258789,2
Round 1 Baseline,Jigawa,21,4,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,6,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,.25,3,11.60000038146973,364.1387867795772,450.5708633173208,491.2485515440156,2.929430961608887,5
Round 1 Baseline,Jigawa,21,5,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,.25,2,9.199999809265137,281.8272837418975,418.89374428102,403.10521446101,-1.866461157798767,1
Round 1 Baseline,Jigawa,21,6,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,1.5,2.600000143051148,281.8272837418975,377.8811106666627,342.0714935094791,2.929430961608887,5
Round 1 Baseline,Jigawa,21,7,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,.5,1.5,4,411.4392691960705,377.8811106666627,373.5930763676761,-.5939081311225891,3
Round 1 Baseline,Jigawa,21,8,Control,110,4.875,.3333333333333333,.6153846153846154,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,0,1.5,6,281.8272837418975,377.8811106666627,388.5393149746298,-1.866461157798767,1
Round 1 Baseline,Jigawa,23,1,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Fulfulde,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,0,1,2.200000047683716,281.8272837418975,324.6987508847998,325.1535148727826,-1.338296890258789,2
Round 1 Baseline,Jigawa,23,2,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,.75,1,2.200000047683716,445.0797933095923,324.6987508847998,325.1535148727826,-1.135208129882813,2
Round 1 Baseline,Jigawa,23,3,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,0,2.5,1.800000071525574,281.8272837418975,418.89374428102,288.1088511523211,-1.135208129882813,2
Round 1 Baseline,Jigawa,23,4,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,9,Fulfulde,,Can see book,Draws or writes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,.25,2.75,6.800000190734863,281.8272837418975,450.5708633173208,388.5393149746298,-1.721388816833496,1
Round 1 Baseline,Jigawa,23,5,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,.25,5,14.39999961853027,281.8272837418975,514.2951669664906,509.5307629246722,-1.866461157798767,1
Round 1 Baseline,Jigawa,23,6,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,Missing,Fulfulde,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,.75,2.75,2.200000047683716,411.4392691960705,418.89374428102,325.1535148727826,-1.866461157798767,1
Round 1 Baseline,Jigawa,23,7,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,Missing,Fulfulde,,Can see book,Draws or writes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,1,4.25,2,411.4392691960705,514.2951669664906,307.2342681158791,-1.232185482978821,2
Round 1 Baseline,Jigawa,23,8,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,0,0,0,281.8272837418975,237.3657540479509,-8.002270943692793,-1.866461157798767,1
Round 1 Baseline,Jigawa,24,1,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,.25,2,3.799999952316284,411.4392691960705,377.8811106666627,358.1584431726051,-2.31737756729126,1
Round 1 Baseline,Jigawa,24,2,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,0,2.5,3.200000047683716,281.8272837418975,418.89374428102,388.5393149746298,-.5788044333457947,3
Round 1 Baseline,Jigawa,24,3,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,0,2,4.800000190734863,281.8272837418975,377.8811106666627,373.5930763676761,-1.338296890258789,2
Round 1 Baseline,Jigawa,24,4,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,10,Hausa,,Can see book,Draws or writes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,1.25,2,20.60000038146973,364.1387867795772,418.89374428102,548.9656272430036,-1.232185482978821,2
Round 1 Baseline,Jigawa,24,5,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,1.25,2,21.60000038146973,364.1387867795772,418.89374428102,557.4158244388025,-1.232185482978821,2
Round 1 Baseline,Jigawa,24,6,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,0,2,5.199999809265137,281.8272837418975,377.8811106666627,403.10521446101,-1.338296890258789,2
Round 1 Baseline,Jigawa,24,7,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,10,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,1.25,2.5,20.60000038146973,364.1387867795772,450.5708633173208,557.4158244388025,-1.338296890258789,2
Round 1 Baseline,Jigawa,24,8,Control,110,3.75,.3333333333333333,.8,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,1.25,3.5,11.39999961853027,364.1387867795772,475.4435604597432,444.5428493166294,-1.866461157798767,1
Round 1 Baseline,Jigawa,25,1,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Boy,12,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,7.5,6.75,24.20000076293945,674.7954717073886,611.210125741168,566.5516864856365,2.185042381286621,5
Round 1 Baseline,Jigawa,25,2,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,2.5,4.5,3.599999904632568,531.1032728518679,514.2951669664906,417.3211346044038,-1.338296890258789,2
Round 1 Baseline,Jigawa,25,3,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Girl,Missing,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.25,3,2.600000143051148,471.3273486189669,450.5708633173208,342.0714935094791,4.813953876495361,5
Round 1 Baseline,Jigawa,25,4,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Girl,7,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,1.5,5,3.400000095367432,493.5573197431712,546.7480227384791,403.10521446101,1.547690749168396,4
Round 1 Baseline,Jigawa,25,5,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Boy,Missing,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,1.25,4,7.400000095367432,471.3273486189669,496.0930309466859,431.1580088048896,-.5939081311225891,3
Round 1 Baseline,Jigawa,25,6,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1.75,5.5,6.400000095367432,493.5573197431712,561.4872511842842,358.1584431726051,3.825661897659302,5
Round 1 Baseline,Jigawa,25,7,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Boy,7,Hausa,,Can see book,Draws or writes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,2.5,4,3.000000238418579,531.1032728518679,496.0930309466859,373.5930763676761,1.835904955863953,5
Round 1 Baseline,Jigawa,25,8,Treatment,121,42,.3333333333333333,.0714285714285714,Able to understand you,Responds verbally,Girl,10,Hausa,,Can see book,Draws or writes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,1.25,3.25,21.39999961853027,471.3273486189669,450.5708633173208,548.9656272430036,3.186470031738281,5
Round 1 Baseline,Jigawa,26,1,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,.75,1.5,12,445.0797933095923,377.8811106666627,469.5211223477989,2.701508760452271,5
Round 1 Baseline,Jigawa,26,2,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Boy,9,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,.25,1.5,2.799999952316284,411.4392691960705,377.8811106666627,358.1584431726051,.9396741986274719,4
Round 1 Baseline,Jigawa,26,3,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Girl,10,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2.25,3.5,9.399999618530273,513.2449523428364,475.4435604597432,457.3770753468402,1.171002388000488,4
Round 1 Baseline,Jigawa,26,4,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Girl,8,Hausa,,Can see book,Draws or writes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,.5,2.5,11.39999961853027,445.0797933095923,418.89374428102,431.1580088048896,-1.122072458267212,2
Round 1 Baseline,Jigawa,26,5,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,1,2.25,11.60000038146973,471.3273486189669,450.5708633173208,491.2485515440156,1.550766706466675,4
Round 1 Baseline,Jigawa,26,6,Treatment,121,37.5,.3333333333333333,.08,Able to understand you,Responds verbally,Boy,8,Hausa,,Can see book,Draws or writes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,2.25,4.25,4.800000190734863,513.2449523428364,514.2951669664906,373.5930763676761,1.268736839294434,4
